cut,7,21
head,7,28
address,6,42
better,6,36
white,6,30
carry,6,30
stroke,6,36
devotion,5,40
right,5,25
ground,5,30
dogwood,5,35
mint,5,20
fire,5,20
cruise,5,30
back,5,20
call,5,20
walk,5,20
cipher,5,30
solid,5,25
convert,5,35
naturalist,5,50
catch,5,25
structural,5,50
play,5,20
double,5,30
excise,4,24
fontanelle,4,40
key,4,12
seethe,4,24
genetic,4,28
ruralism,4,32
star,4,16
tithe,4,20
undertake,4,36
pedantry,4,32
lurch,4,20
swing,4,20
lacrimal,4,32
breed,4,20
clear,4,20
concern,4,28
aspect,4,24
currency,4,32
fungible,4,32
jack,4,16
confer,4,24
attack,4,24
rule,4,16
rattle,4,24
sharpened,4,36
subjunctive,4,44
spittoon,4,32
break,4,20
garrison,4,32
imprint,4,28
edge,4,16
sensitivity,4,44
intervention,4,48
harp,4,16
cybernaut,4,36
design,4,24
shell,4,20
spartan,4,28
cubism,4,24
carpet,4,24
situation,4,36
glazed,4,24
ecclesiasticism,4,60
unbend,4,24
pipe,4,16
troll,4,20
directness,4,40
research,4,32
stiff,4,20
automatic,4,36
hop,4,12
unspent,4,28
go,4,8
time,4,16
community,4,36
mileage,4,28
whacker,4,28
order,4,20
charge,4,24
open,4,16
blacklist,4,36
dwarf,4,20
clamp,4,20
inhumanely,4,40
monad,4,20
minuet,4,24
verge,4,20
light,4,20
echo,4,16
collapse,4,32
rebuff,4,24
offload,4,28
chorus,4,24
subsumption,4,44
howe,4,16
cornice,4,28
pathetically,4,48
scallop,4,28
door,4,16
bohemian,4,32
error,4,20
specificity,4,44
decree,4,24
cured,4,20
opening,4,28
shaker,4,24
close,4,20
faithful,4,32
bounty,4,24
stiltedly,4,36
toe,4,12
simple,4,24
panacea,4,28
rub,4,12
reservist,4,36
circular,4,32
trepan,4,24
node,4,16
ambassador,4,40
tug,4,12
vegetate,4,32
card,4,16
contact,4,28
cream,4,20
hillbilly,4,36
choking,4,28
smug,4,16
audio,4,20
wisp,4,16
perennation,4,44
choice,4,24
hideaway,4,32
foliate,4,28
duck,4,16
rustication,4,44
misdirection,4,48
transpiration,4,52
porter,4,24
vault,4,20
vigorous,4,32
active,4,24
expect,4,24
centromeric,4,44
booth,4,20
adsorb,4,24
baffle,4,24
beltways,4,32
plotting,4,32
ineloquent,4,40
accompany,4,36
frontogenesis,4,52
hepatotoxicity,4,56
schusses,4,32
cephalically,4,48
ancient,3,21
butt,3,12
lymphoid,3,24
particle,3,24
olympiad,3,24
cad,3,9
moor,3,12
greeter,3,21
fancier,3,21
informing,3,27
bridge,3,18
penny,3,15
spread,3,18
smooth,3,18
shooting,3,24
runner,3,18
big,3,9
mule,3,12
circulate,3,27
davenport,3,27
hang,3,12
notice,3,18
pass,3,12
table,3,15
astutely,3,24
kachina,3,21
absolutism,3,30
messenger,3,27
loop,3,12
shovel,3,18
leatherleaf,3,33
mantle,3,18
long,3,12
jam,3,9
bankruptcy,3,30
negative,3,24
helplessness,3,36
grate,3,15
pad,3,9
sparkle,3,21
alienation,3,30
engaged,3,21
barrow,3,18
gravure,3,21
prepossession,3,39
silver,3,18
organizer,3,27
resistance,3,30
autofocus,3,27
athleticism,3,33
boomerang,3,27
act,3,9
delta,3,15
delightedly,3,33
jump,3,12
greaseproof,3,33
luminescent,3,33
trapeze,3,21
pulp,3,12
segregate,3,27
madam,3,15
mark,3,12
check,3,15
acre,3,12
nice,3,12
dawn,3,12
substrate,3,27
foot,3,12
librate,3,21
civil,3,15
unite,3,15
convention,3,30
ecstatic,3,24
ophthalmia,3,30
intimate,3,24
drove,3,15
club,3,12
good,3,12
parental,3,24
harmonizer,3,30
